L2 Size
problem;l2usize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
11;64k;5300291;146675;193879;189755;191637;28327;64;32314516;1,0
11;128k;5300304;146718;193844;144073;190359;28327;64;33027803;1,02207326887
11;256k;5300300;146384;193463;142421;189273;28327;64;32997186;1,02112579993
11;512k;5300300;146916;194160;142202;189064;28327;64;33000921;1,02124138267
11;1m;5300318;146586;193696;28619;37968;28327;64;27521284;0,851669385981
11;2m;5300308;146702;193842;28334;37665;28329;64;27513908;0,851441129429
11;4m;5300301;146267;193355;28327;37656;28327;64;27506069;0,851198544951
11;8m;5300308;146500;193617;28328;37658;28328;64;27510187;0,85132597994
11;16m;5300291;147144;194388;28327;37656;28327;64;27520969;0,85165963804
12;64k;39706693;1006971;1340868;1334908;1338525;114344;64;211631995;1,0
12;128k;39706702;1006890;1340710;1004260;1337257;114346;64;217188985;1,02625779717
12;256k;39706713;1007025;1341007;1002614;1336192;114348;64;217169981;1,02616799979
12;512k;39706706;1006400;1340229;1002348;1335919;114346;64;217149232;1,02606995696
12;1m;39706703;1006717;1340565;1000723;1334206;114349;64;217098455;1,02583002632
12;2m;39706699;1006696;1340539;1000604;1334068;114351;64;217093847;1,02580825267
12;4m;39706703;1006869;1340794;1000603;1334066;114352;64;217097855;1,02582719121
12;8m;39706720;1006718;1340527;114368;152371;114345;64;174254933;0,823386525275
12;16m;39706714;1006840;1340683;114343;152344;114349;64;174257347;0,823397931868
13;64k;600385148;15023431;20029605;19997129;20027682;15017518;64;6657565859;1,0
13;128k;600385146;15023444;20029586;15020973;20026511;15017518;64;6742102764;1,01269786988
13;256k;600385136;15023429;20029600;15019544;20025443;15017518;64;6742074978;1,01269369628
13;512k;600385146;15023408;20029525;15019283;20025184;15017517;64;6742065281;1,01269223974
13;1m;600385122;15023306;20029462;15017712;20023516;15017517;64;6742009419;1,01268384899
13;2m;600385122;15023453;20029605;15017518;20023301;15017518;64;6742004433;1,01268310007
13;4m;600385126;15023432;20029546;15017517;20023299;15017517;64;6742003163;1,01268290931
13;8m;600385126;15023133;20029253;15017517;20023299;19987949;64;8039281831;1,20754071402
13;16m;600385116;15025535;20031974;15017517;20023299;20001260;64;8042795023;1,20806841319
